Rk,Player,Pos,Tm,Salary,NewPlayer
,Carl Lawson\LawsCa00,DE,CIN,"$645,000 ",Carl Lawson
,Carl Nassib\NassCa00,DE,TAM,"$2,025,000 ",Carl Nassib
251,Carlos Dunlap\DunlCa99,DE,CIN,"$3,100,000 ",Carlos Dunlap
,Carlos Hyde\HydeCa00,RB,HOU,"$1,400,000 ",Carlos Hyde
,Carlos Watkins\WatkCa00,DT,HOU,"$645,000 ",Carlos Watkins
1014,Carlton Davis\DaviCa02,CB,TAM,"$679,687 ",Carlton Davis
,Carson Wentz\WentCa00,QB,PHI,"$720,000 ",Carson Wentz
,Case Keenum\KeenCa00,QB,WAS,"$3,500,000 ",Case Keenum
,Casey Hayward\HaywCa00,DB,LAC,"$8,000,000 ",Casey Hayward
,Casey Kreiter\KreiCa00,LS,DEN,"$1,000,000 ",Casey Kreiter
,Cassanova McKinzy\McKiCa01,LB,WAS,"$570,000 ",Cassanova McKinzy
,Cassius Marsh\MarsCa00,DE,ARI,"$850,000 ",Cassius Marsh
,Cedric Ogbuehi\OgbuCe00,OT,JAX,"$805,000 ",Cedric Ogbuehi
,Cedrick Wilson\WilsCe01,WR,DAL,"$495,000 ",Cedrick Wilson
,Cethan Carter\CartCe00,TE,CIN,"$570,000 ",Cethan Carter
,Chad Beebe\BeebCh00,WR,MIN,"$570,000 ",Chad Beebe
1032,Chad Thomas\ThomCh06,DE,CLE,"$665,000 ",Chad Thomas
,Chandler Cox\CoxxCh01,RB,MIA,"$495,000 ",Chandler Cox
11,Chandler Jones\JoneCh03,DE,ARI,"$16,500,000 ",Chandler Jones
,Chandon Sullivan\SullCh00,CB,GNB,"$570,000 ",Chandon Sullivan
,Charles Clay\ClayCh00,TE,ARI,"$1,150,000 ",Charles Clay
514,Charles Harris\HarrCh03,DE,MIA,"$1,450,794 ",Charles Harris
107,Charles Leno\LenoCh00,OG,CHI,"$7,900,000 ",Charles Leno
,Charles Omenihu\OmenCh00,DL,HOU,"$495,000 ",Charles Omenihu
,Charles Washington\WashCh01,DB,ARI,"$645,000 ",Charles Washington
,Charley Hughlett\HughCh01,LS,CLE,"$805,000 ",Charley Hughlett
,Charvarius Ward\WardCh01,DB,KAN,"$570,000 ",Charvarius Ward
,Chase Daniel\DaniCh00,QB,CHI,"$4,000,000 ",Chase Daniel
,Chase Edmonds\EdmoCh00,RB,ARI,"$570,000 ",Chase Edmonds
,Chase Roullier\RoulCh00,C,WAS,"$645,000 ",Chase Roullier
,Chase Winovich\WinoCh00,EDGE,NWE,"$495,000 ",Chase Winovich
,Chauncey Gardner-Johnson\GardCh00,S,NOR,"$495,000 ",Chauncey Gardner-Johnson
,Chester Rogers\RogeCh02,WR,IND,"$3,095,000 ",Chester Rogers
776,Chidobe Awuzie\AwuzCh00,CB,DAL,"$854,417 ",Chidobe Awuzie
,Chris Banjo\BanjCh00,S,ARI,"$850,000 ",Chris Banjo
,Chris Board\BoarCh00,LB,BAL,"$570,000 ",Chris Board
,Chris Boswell\BoswCh00,K,PIT,"$1,000,000 ",Chris Boswell
,Chris Carson\CarsCh00,RB,SEA,"$645,000 ",Chris Carson
,Chris Conley\ConlCh00,WR,JAX,"$805,000 ",Chris Conley
,Chris Godwin\GodwCh00,WR,TAM,"$677,000 ",Chris Godwin
108,Chris Harris\HarrCh01,CB,DEN,"$7,800,000 ",Chris Harris
795,Chris Hogan\HogaCh00,WR,CAR,"$825,000 ",Chris Hogan
144,Chris Hubbard\HubbCh00,G,CLE,"$6,150,000 ",Chris Hubbard
,Chris Jones\JoneCh02,P,DAL,"$1,800,000 ",Chris Jones
,Chris Jones\JoneCh06,CB,ARI,"$570,000 ",Chris Jones
576,Chris Jones\JoneCh09,DT,KAN,"$1,199,714 ",Chris Jones
,Chris Lacy\LacyCh00,WR,DET,"$495,000 ",Chris Lacy
,Chris Lammons\LammCh00,DB,MIA,"$495,000 ",Chris Lammons
,Chris Lindstrom\LindCh00,OL,ATL,"$495,000 ",Chris Lindstrom
,Chris Moore\MoorCh00,WR,BAL,"$720,000 ",Chris Moore
,Chris Peace\PeacCh00,DE,2TM,"$495,000 ",Chris Peace
,Chris Reed\ReedCh00,G,MIA,"$1,000,000 ",Chris Reed
,Chris Smith\SmitCh03,DE,CLE,"$2,750,000 ",Chris Smith
,Chris Thompson\ThomCh03,RB,WAS,"$2,750,000 ",Chris Thompson
913,Chris Wormley\WormCh00,DT,BAL,"$736,000 ",Chris Wormley
,Christian Covington\CoviCh00,DT,DAL,"$1,000,000 ",Christian Covington
319,Christian Jones\JoneCh05,ILB,DET,"$2,450,000 ",Christian Jones
910,Christian Kirk\KirkCh01,WR,ARI,"$747,948 ",Christian Kirk
,Christian Kirksey\KirkCh00,OLB,CLE,"$7,000,000 ",Christian Kirksey
346,Christian McCaffrey\McCaCh01,RB,CAR,"$2,032,390 ",Christian McCaffrey
,Christian Miller\MillCh04,EDGE,CAR,"$495,000 ",Christian Miller
,Christian Wilkins\WilkCh00,DL,MIA,"$495,000 ",Christian Wilkins
,Christopher Milton\MiltCh00,CB,TEN,"$900,000 ",Christopher Milton
,Chuck Clark\ClarCh00,FS,BAL,"$645,000 ",Chuck Clark
,Chuma Edoga\EdogCh00,OL,NYJ,"$495,000 ",Chuma Edoga
,Clark Harris\HarrCl20,TE,CIN,"$1,030,000 ",Clark Harris
,Clay Matthews\MattCl99,LB,LAR,"$3,000,000 ",Clay Matthews
,Clayton Fejedelem\FejeCl00,FS,CIN,"$720,000 ",Clayton Fejedelem
,Clayton Geathers\GeatCl00,SS,IND,"$1,250,000 ",Clayton Geathers
,Clelin Ferrell\FerrCl00,EDGE,OAK,"$495,000 ",Clelin Ferrell
,Cody Barton\BartCo00,LB,SEA,"$495,000 ",Cody Barton
,Cody Core\CoreCo00,WR,NYG,"$720,000 ",Cody Core
459,Cody Davis\DaviCo02,S,JAX,"$1,750,000 ",Cody Davis
,Cody Ford\FordCo00,OL,BUF,"$495,000 ",Cody Ford
757,Cody Latimer\LatiCo00,WR,NYG,"$925,000 ",Cody Latimer
633,Cody Whitehair\WhitCo03,OG,CHI,"$1,026,077 ",Cody Whitehair
,Colby Wadman\WadmCo00,P,DEN,"$570,000 ",Colby Wadman
340,Cole Beasley\BeasCo00,WR,BUF,"$2,200,000 ",Cole Beasley
,Cole Holcomb\HolcCo00,LB,WAS,"$495,000 ",Cole Holcomb
,Cole Mazza\MazzCo01,LS,LAC,"$495,000 ",Cole Mazza
,Coleman Shelton\ShelCo00,C,LAR,"$495,000 ",Coleman Shelton
,Colin Holba\HolbCo00,LS,SFO,"$645,000 ",Colin Holba
726,Colin Jones\JoneCo01,DB,CAR,"$930,000 ",Colin Jones
,Colt McCoy\McCoCo00,QB,WAS,"$3,000,000 ",Colt McCoy
,Connor McGovern\McGoCo00,OG,DEN,"$2,025,000 ",Connor McGovern
916,Connor Williams\WillCo00,OT,DAL,"$729,500 ",Connor Williams
808,Cooper Kupp\KuppCo00,WR,LAR,"$811,000 ",Cooper Kupp
,Cooper Rush\RushCo00,QB,DAL,"$645,000 ",Cooper Rush
,Cordarrelle Patterson\PattCo00,WR,CHI,"$3,000,000 ",Cordarrelle Patterson
,Corey Ballentine\BallCo00,CB,NYG,"$495,000 ",Corey Ballentine
,Corey Bojorquez\BojoCo00,P,BUF,"$570,000 ",Corey Bojorquez
,Corey Clement\ClemCo00,RB,PHI,"$645,000 ",Corey Clement
,Corey Davis\DaviCo03,WR,TEN,"$645,000 ",Corey Davis
197,Corey Linsley\LinsCo00,C,GNB,"$4,300,000 ",Corey Linsley
,Corey Liuget\LiugCo00,DT,OAK,"$930,000 ",Corey Liuget
,Corey Nelson\NelsCo00,OLB,DEN,"$805,000 ",Corey Nelson
,Corey Peters\PeteCo00,DT,ARI,"$3,250,000 ",Corey Peters
